ID;FASE;ÁREA;TAREA;DESCRIPCIÓN;ARCHIVOS_O_RECURSOS;DEPENDENCIAS;ESTADO;PRUEBA;CRITERIO_DE_ACEPTACIÓN;EVIDENCIA
LB0-001;LB-0 — Congelación y trazabilidad;Gobierno;Confirmar los Principios Inamovibles en las fuentes;Comprobar que el documento permanente está disponible como fuente separada y contiene PI-01 a PI-20.;CONTRATA_IA_PRINCIPIOS_INAMOVIBLES.md;Ninguna;COMPLETADA;Búsqueda en fuentes por título y PI-20;El documento aparece como fuente independiente y recuperable.;Referencia de fuente registrada
LB0-002;LB-0 — Congelación y trazabilidad;Baseline;Identificar el ZIP auditado;Fijar como snapshot oficial el ZIP sobre el que se realizó la auditoría maestra.;contrata-ia-main (20)(1).zip;Ninguna;COMPLETADA;Comprobar nombre y presencia del ZIP;El ZIP de baseline está identificado inequívocamente.;Nombre de baseline
LB0-003;LB-0 — Congelación y trazabilidad;Baseline;Registrar la huella SHA-256;Conservar la huella del ZIP para detectar cualquier alteración futura.;AUDITORIA_MAESTRA_Y_LINEA_BASE_CONTRATA_IA.md;LB0-002;COMPLETADA;sha256sum del ZIP;La huella coincide con bfbc11511ea6745c5a977a4e578bf1fe9529167faeb9267af8332e945b4fd8e1.;Hash documentado
LB0-004;LB-0 — Congelación y trazabilidad;Auditoría;Archivar el informe maestro;Incorporar el informe de auditoría al repositorio canónico.;docs/audit/01_AUDITORIA_MAESTRA.md;LB0-002, LB0-003;PENDIENTE;Comprobar existencia en el repositorio;El informe está versionado en docs/audit.;Commit
LB0-005;LB-0 — Congelación y trazabilidad;Auditoría;Archivar el inventario completo;Incorporar el inventario de 535 archivos a la documentación del repositorio.;docs/audit/INVENTARIO_AUDITORIA_CONTRATA_IA.csv;LB0-004;PENDIENTE;Validar CSV y número de filas;El inventario abre correctamente y conserva todos los registros.;CSV versionado
LB0-006;LB-0 — Congelación y trazabilidad;Auditoría;Archivar incidencias técnicas;Incorporar errores sintácticos, imports no resueltos, duplicidades y YAML inválidos.;"docs/audit/ERRORES_SINTAXIS_CONTRATA_IA.csv; docs/audit/IMPORTS_NO_RESUELTOS_CONTRATA_IA.csv; docs/audit/DUPLICIDADES_NOMBRE_CONTRATA_IA.csv; docs/audit/YAML_INVALIDOS_CONTRATA_IA.csv";LB0-004;PENDIENTE;Abrir y validar los cuatro CSV;Los cuatro informes son accesibles y versionados.;Commit
LB0-007;LB-0 — Congelación y trazabilidad;Gobierno;Incorporar los Principios Inamovibles al repositorio;Copiar el documento ya presente en fuentes al árbol documental del proyecto.;docs/governance/CONTRATA_IA_PRINCIPIOS_INAMOVIBLES.md;LB0-001;PENDIENTE;Comparar hash/contenido con la fuente;El repositorio contiene la misma versión 1.0.;Commit
LB0-008;LB-0 — Congelación y trazabilidad;Gobierno;Crear ADR-0001 de línea base;Registrar snapshot, alcance, riesgos, porcentaje oficial del 42 % y reglas de medición.;docs/architecture/ADR-0001-BASELINE.md;LB0-003, LB0-004, LB0-007;PENDIENTE;Revisión documental;ADR aprobado y enlazado desde el roadmap.;ADR
LB0-009;LB-0 — Congelación y trazabilidad;Gobierno;Crear el registro maestro de decisiones;Crear el índice permanente de ADRs y decisiones canónicas.;docs/03_ARCHITECTURE_DECISIONS.md;LB0-008;PENDIENTE;Comprobar índice y enlace a ADR-0001;Existe un índice único de decisiones.;Documento
LB0-010;LB-0 — Congelación y trazabilidad;Gobierno;Crear el changelog;Registrar la auditoría y el cambio desde contadores de archivos a hitos verificables.;docs/04_CHANGELOG.md;LB0-008;PENDIENTE;Revisión documental;Primera entrada fechada y trazable.;Documento
LB0-011;LB-0 — Congelación y trazabilidad;Gobierno;Incorporar el roadmap maestro;Guardar la versión aprobada del roadmap operativo LB-0 a LB-7.;"docs/02_ROADMAP_V1.md; docs/02_ROADMAP_V1.csv";LB0-007, LB0-008;PENDIENTE;Comprobar IDs, dependencias y puertas;Roadmap versionado y utilizable como tracker.;Commit
LB0-012;LB-0 — Congelación y trazabilidad;Puerta;Cerrar LB-0;Verificar que snapshot, auditoría, principios, ADR, changelog y roadmap están preservados.;docs/;LB0-001 a LB0-011;PENDIENTE;Checklist LB-0;Todos los elementos de gobierno están en el repositorio y el baseline es restaurable.;Acta de cierre LB-0
LB1-001;LB-1 — Proyecto compilable;Toolchain;Seleccionar el ZIP de trabajo;Extraer una copia de trabajo desde la baseline sin modificar el snapshot original.;worktree/contrata-ia;LB0-012;PENDIENTE;Comparar hash de la fuente;La copia es reproducible y la baseline permanece intacta.;Registro
LB1-002;LB-1 — Proyecto compilable;Toolchain;Fijar versiones de runtime;Definir versión LTS de Node.js, TypeScript y npm compatibles con el entorno objetivo.;".nvmrc; docs/technical/RUNTIME.md";LB1-001;PENDIENTE;"node --version; npm --version";Versiones explícitas y reproducibles.;Archivos versionados
